[30-Nov-2024 01:09:12 Asia/Manila] PHP Warning:  Undefined array key "MemCat" in /home/u926430213/domains/lutayanrhu.site/public_html/RHU/patient_form.php on line 115
[30-Nov-2024 01:09:12 Asia/Manila] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in /home/u926430213/domains/lutayanrhu.site/public_html/RHU/patient_form.php on line 115
[01-Dec-2024 17:31:55 Asia/Manila] PHP Warning:  Undefined array key "f_gname" in /home/u926430213/domains/lutayanrhu.site/public_html/RHU/patient_form.php on line 67
[01-Dec-2024 17:31:55 Asia/Manila] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in /home/u926430213/domains/lutayanrhu.site/public_html/RHU/patient_form.php on line 67
[02-Dec-2024 09:32:10 Asia/Manila] PHP Warning:  Undefined array key "f_gname" in /home/u926430213/domains/lutayanrhu.site/public_html/RHU/patient_form.php on line 67
[02-Dec-2024 09:32:10 Asia/Manila] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in /home/u926430213/domains/lutayanrhu.site/public_html/RHU/patient_form.php on line 67
[02-Dec-2024 12:59:24 Asia/Manila] PHP Warning:  Undefined array key "f_gname" in /home/u926430213/domains/lutayanrhu.site/public_html/RHU/patient_form.php on line 67
[02-Dec-2024 12:59:24 Asia/Manila] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in /home/u926430213/domains/lutayanrhu.site/public_html/RHU/patient_form.php on line 67
[02-Dec-2024 16:36:01 Asia/Manila] PHP Warning:  Undefined array key "f_gname" in /home/u926430213/domains/lutayanrhu.site/public_html/RHU/patient_form.php on line 67
[02-Dec-2024 16:36:01 Asia/Manila] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in /home/u926430213/domains/lutayanrhu.site/public_html/RHU/patient_form.php on line 67
[03-Dec-2024 13:53:02 Asia/Manila] PHP Warning:  Undefined variable $patientData in /home/u926430213/domains/lutayanrhu.site/public_html/RHU/patient_form.php on line 454
